source,target,weight
Mauritius,India,1.75
Andorra,Gibraltar,1.0
Tajikistan,Lebanon,2.0
Philippines,Malaysia,2.0
Comoros,Gambia,1.25
Gambia,Comoros,1.25
Libya,Rwanda,1.25
Rwanda,Libya,1.25
Niger,Sudan,2.5
Tanzania,Ethiopia,1.25
Ethiopia,Tanzania,1.25
United States Virgin Islands,Bahamas,1.75
Bahamas,United States Virgin Islands,1.75
Turks and Caicos Islands,Anguilla,3.5
British Virgin Islands,Cayman Islands,3.5
Solomon Islands,Hong Kong,2.0
Bhutan,Bangladesh,1.0
Vietnam,Russia,1.0
Sri Lanka,Cambodia,1.25
Cambodia,Sri Lanka,1.25
Mongolia,Timor-Leste,2.5
Madagascar,Tunisia,2.5
Lesotho,Central African Republic,2.5
Equatorial Guinea,Algeria,2.5
Ghana,Angola,2.5
Eswatini,Guinea-Bissau,2.5
South Sudan,Congo,2.5
Malawi,Burundi,2.5
Guyana,Suriname,3.5
Guadeloupe,Costa Rica,3.5
Martinique,Guatemala,3.5
Montserrat,El Salvador,3.5
Bonaire,Saint Vincent and the Grenadines,1.75
Saint Vincent and the Grenadines,Bonaire,1.75
Croatia,Portugal,3.5
Scotland,Poland,3.5
Switzerland,Denmark,3.5
Serbia,Spain,1.75
Spain,Serbia,1.75
Azerbaijan,Sweden,3.5
Estonia,Slovakia,3.5
Luxembourg,Northern Ireland,3.5
Belarus,Bulgaria,1.75
Bulgaria,Belarus,1.75
Liechtenstein,San Marino,3.5
Venezuela,Bolivia,4.0
Chile,Argentina,4.0
Qatar,United Arab Emirates,4.0
North Korea,Uzbekistan,4.0
Kyrgyzstan,Iran,4.0
Oman,Iraq,4.0
South Korea,Palestine,2.0
Palestine,South Korea,2.0
Jordan,Kuwait,2.0
Kuwait,Jordan,2.0
China,Japan,4.0
Australia,Bahrain,4.0
Saudi Arabia,Indonesia,2.0
Indonesia,Saudi Arabia,2.0
Mauritius,Syria,3.5
Macau,Brunei,2.5
Gabon,Morocco,2.5
Cape Verde,Egypt,2.5
Togo,Liberia,1.25
Liberia,Togo,1.25
Sierra Leone,Chad,1.25
Chad,Sierra Leone,1.25
Zambia,Ivory Coast,2.5
Guinea,DR Congo,2.5
Mali,Mozambique,1.25
Mozambique,Mali,1.25
Kenya,Zimbabwe,1.25
Zimbabwe,Kenya,1.25
South Africa,Uganda,1.25
Uganda,South Africa,1.25
Senegal,Burkina Faso,1.25
Burkina Faso,Senegal,1.25
French Guiana,Nicaragua,3.5
Jamaica,Cuba,1.75
Cuba,Jamaica,1.75
Trinidad and Tobago,Honduras,3.5
Curaçao,Saint Lucia,3.5
Saint Martin,Grenada,3.5
Aruba,Sint Maarten,3.5
Puerto Rico,Haiti,3.5
Israel,Belgium,3.5
France,Italy,3.5
Kazakhstan,Norway,1.75
Norway,Kazakhstan,1.75
Slovenia,Austria,1.75
Austria,Slovenia,1.75
Montenegro,Iceland,3.5
Wales,Turkey,1.75
Turkey,Wales,1.75
Kosovo,Romania,3.5
Lithuania,Cyprus,3.5
Cook Islands,Tonga,4.0
American Samoa,Samoa,4.0
Peru,Colombia,2.0
Colombia,Peru,2.0
Uruguay,Paraguay,2.0
Paraguay,Uruguay,2.0
Ecuador,Brazil,4.0
New Zealand,Mexico,1.0
United States,Canada,1.0
Botswana,Mauritania,2.5
Benin,Nigeria,2.5
Namibia,Cameroon,2.5
Bermuda,Dominican Republic,3.5
Antigua and Barbuda,Dominica,3.5
Bahamas,Barbados,3.5
Turks and Caicos Islands,Belize,3.5
Cayman Islands,Saint Kitts and Nevis,3.5
Hungary,Germany,3.5
Bosnia and Herzegovina,Netherlands,3.5
Czech Republic,Georgia,3.5
Ukraine,Albania,3.5
Republic of Ireland,England,3.5
Finland,Greece,3.5
Faroe Islands,North Macedonia,1.75
North Macedonia,Faroe Islands,1.75
Latvia,Armenia,3.5
Malta,Moldova,3.5
Bangladesh,Bhutan,1.0
Tajikistan,Philippines,1.0
Philippines,Tajikistan,1.0
Lebanon,Malaysia,2.0
Gambia,Tunisia,2.5
Montserrat,Saint Vincent and the Grenadines,3.5
Bonaire,El Salvador,3.5
Scotland,Portugal,3.5
Poland,Croatia,3.5
Serbia,Denmark,3.5
Switzerland,Spain,3.5
Azerbaijan,Slovakia,3.5
Estonia,Sweden,3.5
Luxembourg,Belarus,3.5
Northern Ireland,Bulgaria,3.5
Gibraltar,Liechtenstein,1.75
Liechtenstein,Gibraltar,1.75
India,Syria,3.5
Madagascar,Comoros,1.25
Comoros,Madagascar,1.25
Lesotho,Morocco,2.5
Equatorial Guinea,Togo,1.25
Togo,Equatorial Guinea,1.25
Niger,Ghana,1.25
Ghana,Niger,1.25
Sudan,Angola,2.5
Ethiopia,DR Congo,2.5
Congo,Uganda,2.5
Burundi,Senegal,2.5
Suriname,Guadeloupe,3.5
Martinique,Guyana,1.75
Guyana,Martinique,1.75
Guatemala,Costa Rica,1.75
Costa Rica,Guatemala,1.75
Saint Martin,Curaçao,3.5
Grenada,Saint Lucia,3.5
Sint Maarten,Haiti,3.5
Aruba,Puerto Rico,3.5
Belgium,France,3.5
Israel,Italy,3.5
Austria,Norway,3.5
Kazakhstan,Slovenia,3.5
Montenegro,Wales,3.5
Iceland,Turkey,3.5
Cyprus,Kosovo,3.5
Lithuania,Romania,3.5
Tonga,Samoa,4.0
Mexico,Canada,0.5
Canada,Mexico,0.5
San Marino,Moldova,1.0
United States,New Zealand,0.5
New Zealand,United States,0.5
Vietnam,Thailand,1.0
Cambodia,Sri Lanka,1.25
Sri Lanka,Cambodia,1.25
Macau,Brunei,2.5
Timor-Leste,Mongolia,2.5
Central African Republic,Gabon,2.5
Botswana,Egypt,2.5
Mauritania,Cape Verde,2.5
Rwanda,Nigeria,1.25
Nigeria,Rwanda,1.25
Libya,Benin,2.5
Liberia,Algeria,2.5
Sierra Leone,Zambia,2.5
Chad,Ivory Coast,2.5
Guinea,Tanzania,2.5
Guinea-Bissau,Mozambique,2.5
Eswatini,Mali,2.5
Namibia,Kenya,2.5
South Sudan,South Africa,2.5
Malawi,Burkina Faso,2.5
Cuba,Nicaragua,1.75
Nicaragua,Cuba,1.75
Trinidad and Tobago,French Guiana,1.75
French Guiana,Trinidad and Tobago,1.75
Honduras,Jamaica,3.5
Dominica,Dominican Republic,3.5
Antigua and Barbuda,Bermuda,3.5
United States Virgin Islands,Barbados,3.5
Anguilla,Belize,3.5
British Virgin Islands,Saint Kitts and Nevis,3.5
Hungary,Bosnia and Herzegovina,1.75
Bosnia and Herzegovina,Hungary,1.75
Netherlands,Germany,1.75
Germany,Netherlands,1.75
Albania,Georgia,3.5
Ukraine,Czech Republic,3.5
Finland,England,3.5
Republic of Ireland,Greece,3.5
Faroe Islands,Latvia,3.5
Armenia,North Macedonia,3.5
Andorra,Malta,3.5
Argentina,Colombia,4.0
Peru,Ecuador,4.0
Chile,Bolivia,4.0
Venezuela,Uruguay,2.0
Uruguay,Venezuela,2.0
Brazil,Paraguay,4.0
North Korea,Qatar,2.0
Qatar,North Korea,2.0
Kyrgyzstan,Uzbekistan,4.0
United Arab Emirates,Iran,4.0
Oman,South Korea,4.0
Kuwait,Iraq,2.0
Iraq,Kuwait,2.0
Palestine,Jordan,4.0
Bahrain,Japan,4.0
Indonesia,Australia,2.0
Australia,Indonesia,2.0
China,Saudi Arabia,4.0
Zimbabwe,Cameroon,1.25
Cameroon,Zimbabwe,1.25
Brunei,Timor-Leste,2.5
United States Virgin Islands,Barbados,3.5
Anguilla,Belize,3.5
British Virgin Islands,Saint Kitts and Nevis,3.5
Hong Kong,Liechtenstein,1.0
Sri Lanka,Myanmar,1.0
Cape Verde,Botswana,2.5
Togo,Algeria,2.5
Ghana,Sudan,1.25
Sudan,Ghana,1.25
Tanzania,DR Congo,2.5
Namibia,Zimbabwe,2.5
Burundi,Burkina Faso,2.5
Cuba,Trinidad and Tobago,1.75
Trinidad and Tobago,Cuba,1.75
French Guiana,Honduras,3.5
Nicaragua,Jamaica,3.5
Bonaire,Montserrat,3.5
Saint Vincent and the Grenadines,El Salvador,3.5
Israel,France,3.5
Italy,Belgium,1.75
Belgium,Italy,1.75
England,Greece,3.5
Finland,Republic of Ireland,3.5
Kazakhstan,Austria,3.5
Slovenia,Norway,3.5
Latvia,North Macedonia,3.5
Faroe Islands,Armenia,1.75
Armenia,Faroe Islands,1.75
San Marino,Gibraltar,3.5
Andorra,Moldova,3.5
Colombia,Bolivia,4.0
Ecuador,Paraguay,2.0
Paraguay,Ecuador,2.0
Venezuela,Argentina,2.0
Argentina,Venezuela,2.0
Chile,Brazil,4.0
Papua New Guinea,New Caledonia,4.0
Solomon Islands,Fiji,4.0
Kyrgyzstan,Qatar,4.0
Uzbekistan,Iran,2.0
Iran,Uzbekistan,2.0
United Arab Emirates,North Korea,2.0
North Korea,United Arab Emirates,2.0
Jordan,South Korea,4.0
Kuwait,Oman,4.0
Palestine,Iraq,4.0
Bahrain,Indonesia,2.0
Indonesia,Bahrain,2.0
China,Australia,4.0
Saudi Arabia,Japan,4.0
Taiwan,Cambodia,1.0
Madagascar,Gambia,1.25
Gambia,Madagascar,1.25
Tunisia,Comoros,2.5
Gabon,Lesotho,1.25
Lesotho,Gabon,1.25
Mauritania,Egypt,2.5
Rwanda,Benin,2.5
Libya,Nigeria,2.5
Liberia,Equatorial Guinea,2.5
Niger,Angola,2.5
Zambia,Chad,1.25
Chad,Zambia,1.25
Sierra Leone,Ivory Coast,2.5
Mozambique,Eswatini,1.25
Eswatini,Mozambique,1.25
Guinea-Bissau,Mali,2.5
Kenya,Cameroon,2.5
South Sudan,Uganda,2.5
Congo,South Africa,2.5
Malawi,Senegal,2.5
Guadeloupe,Martinique,3.5
Suriname,Costa Rica,1.75
Costa Rica,Suriname,1.75
Guyana,Guatemala,3.5
Grenada,Curaçao,1.75
Curaçao,Grenada,1.75
Saint Martin,Saint Lucia,3.5
Puerto Rico,Sint Maarten,3.5
Aruba,Haiti,3.5
Bosnia and Herzegovina,Germany,3.5
Hungary,Netherlands,1.75
Netherlands,Hungary,1.75
Albania,Czech Republic,3.5
Georgia,Ukraine,3.5
Iceland,Wales,1.75
Wales,Iceland,1.75
Montenegro,Turkey,3.5
Azerbaijan,Estonia,3.5
Slovakia,Sweden,1.75
Sweden,Slovakia,1.75
Uruguay,Peru,4.0
Tahiti,New Zealand,4.0
Tajikistan,Syria,3.5
Philippines,Thailand,3.5
Panama,United States,1.0
Vietnam,India,0.5
India,Vietnam,0.5
Central African Republic,Morocco,2.5
Ethiopia,Guinea,2.5
Antigua and Barbuda,Dominican Republic,3.5
Dominica,Bermuda,3.5
United States Virgin Islands,Bahamas,3.5
Anguilla,Turks and Caicos Islands,3.5
British Virgin Islands,Cayman Islands,3.5
Scotland,Croatia,3.5
Poland,Portugal,3.5
Switzerland,Serbia,3.5
Denmark,Spain,3.5
Lithuania,Kosovo,3.5
Cyprus,Romania,3.5
Bulgaria,Luxembourg,1.75
Luxembourg,Bulgaria,1.75
Belarus,Northern Ireland,1.75
Northern Ireland,Belarus,1.75
Samoa,Vanuatu,4.0
San Marino,Andorra,1.0
Myanmar,Sri Lanka,0.5
Sri Lanka,Myanmar,0.5
Burundi,Burkina Faso,2.5
Montserrat,Bonaire,3.5
El Salvador,Saint Vincent and the Grenadines,3.5
Finland,England,3.5
Republic of Ireland,Greece,3.5
Kazakhstan,Slovenia,3.5
Norway,Austria,3.5
Faroe Islands,Latvia,1.75
Latvia,Faroe Islands,1.75
Armenia,North Macedonia,3.5
Liechtenstein,Gibraltar,1.75
Gibraltar,Liechtenstein,1.75
Moldova,Malta,3.5
Malaysia,New Zealand,1.0
Madagascar,Gambia,2.5
Liberia,Equatorial Guinea,2.5
Togo,Algeria,2.5
Eswatini,Mozambique,2.5
Kenya,Cameroon,2.5
Namibia,Zimbabwe,2.5
French Guiana,Nicaragua,3.5
Jamaica,Honduras,1.75
Honduras,Jamaica,1.75
Cuba,Trinidad and Tobago,3.5
Grenada,Curaçao,3.5
Saint Lucia,Saint Martin,3.5
Sint Maarten,Puerto Rico,3.5
Aruba,Haiti,3.5
Belgium,France,3.5
Israel,Italy,3.5
Bosnia and Herzegovina,Hungary,3.5
Netherlands,Germany,3.5
Georgia,Albania,3.5
Ukraine,Czech Republic,1.75
Czech Republic,Ukraine,1.75
Iceland,Turkey,3.5
Montenegro,Wales,3.5
Azerbaijan,Slovakia,3.5
Estonia,Sweden,3.5
Tajikistan,Philippines,3.5
Syria,Thailand,3.5
Panama,Canada,1.0
Cambodia,Hong Kong,1.0
United States,Mexico,1.0
Comoros,Tunisia,1.25
Tunisia,Comoros,1.25
Lesotho,Gabon,2.5
Central African Republic,Morocco,2.5
Mauritania,Egypt,2.5
Cape Verde,Botswana,2.5
Benin,Rwanda,2.5
Ghana,Sudan,2.5
Niger,Angola,2.5
Chad,Zambia,2.5
Ivory Coast,Sierra Leone,2.5
Tanzania,DR Congo,2.5
Ethiopia,Guinea,2.5
Guinea-Bissau,Mali,1.25
Mali,Guinea-Bissau,1.25
South Sudan,Uganda,2.5
Congo,South Africa,1.25
South Africa,Congo,1.25
Malawi,Senegal,2.5
Guatemala,Costa Rica,3.5
Guadeloupe,Martinique,1.75
Martinique,Guadeloupe,1.75
Guyana,Suriname,3.5
Antigua and Barbuda,Dominican Republic,3.5
Dominica,Bermuda,3.5
Bahamas,Barbados,3.5
Turks and Caicos Islands,Belize,3.5
Saint Kitts and Nevis,Cayman Islands,1.75
Cayman Islands,Saint Kitts and Nevis,1.75
Scotland,Portugal,1.75
Portugal,Scotland,1.75
Poland,Croatia,1.75
Croatia,Poland,1.75
Serbia,Spain,3.5
Switzerland,Denmark,1.75
Denmark,Switzerland,1.75
Cyprus,Kosovo,3.5
Lithuania,Romania,3.5
Bulgaria,Northern Ireland,3.5
Belarus,Luxembourg,1.75
Luxembourg,Belarus,1.75
Chile,Colombia,4.0
Venezuela,Paraguay,4.0
Uruguay,Ecuador,2.0
Ecuador,Uruguay,2.0
Bolivia,Argentina,4.0
Peru,Brazil,4.0
United Arab Emirates,Uzbekistan,4.0
Qatar,Iran,4.0
North Korea,Kyrgyzstan,4.0
Oman,Jordan,4.0
Palestine,Kuwait,2.0
Kuwait,Palestine,2.0
Iraq,South Korea,4.0
Japan,Australia,2.0
Australia,Japan,2.0
Indonesia,China,4.0
Saudi Arabia,Bahrain,2.0
Bahrain,Saudi Arabia,2.0
Timor-Leste,Brunei,1.25
Brunei,Timor-Leste,1.25
Bangladesh,Maldives,1.0
Nepal,Tajikistan,1.0
Togo,Liberia,2.5
Chad,Sierra Leone,1.25
Sierra Leone,Chad,1.25
Namibia,Cameroon,1.25
Cameroon,Namibia,1.25
Belgium,Italy,3.5
France,Israel,1.75
Israel,France,1.75
Finland,Republic of Ireland,3.5
Greece,England,3.5
Kazakhstan,Austria,3.5
Slovenia,Norway,3.5
Latvia,North Macedonia,3.5
Armenia,Faroe Islands,3.5
Montserrat,Saint Vincent and the Grenadines,3.5
Bonaire,El Salvador,3.5
French Guiana,Belize,3.5
Cuba,Saint Kitts and Nevis,3.5
Costa Rica,Panama,3.5
Jamaica,United States,3.5
Philippines,Hong Kong,1.0
Laos,Malaysia,1.0
Liechtenstein,Malta,1.0
Myanmar,Singapore,1.0
Thailand,Lebanon,0.5
Lebanon,Thailand,0.5
Venezuela,Brazil,2.0
Brazil,Venezuela,2.0
Bolivia,Ecuador,4.0
Argentina,Paraguay,4.0
Solomon Islands,New Caledonia,4.0
Papua New Guinea,Fiji,2.0
Fiji,Papua New Guinea,2.0
North Korea,Iran,4.0
Uzbekistan,Qatar,4.0
Kyrgyzstan,United Arab Emirates,4.0
Kuwait,South Korea,4.0
Iraq,Jordan,2.0
Jordan,Iraq,2.0
Palestine,Oman,4.0
Bahrain,China,4.0
Australia,Saudi Arabia,2.0
Saudi Arabia,Australia,2.0
Madagascar,Tunisia,2.5
Central African Republic,Lesotho,2.5
Rwanda,Libya,2.5
Benin,Nigeria,1.25
Nigeria,Benin,1.25
Equatorial Guinea,Algeria,1.25
Algeria,Equatorial Guinea,1.25
Sudan,Niger,2.5
Congo,South Sudan,2.5
Burundi,Malawi,1.25
Malawi,Burundi,1.25
Burkina Faso,Senegal,2.5
Poland,Portugal,3.5
Croatia,Scotland,3.5
Denmark,Spain,3.5
Switzerland,Serbia,1.75
Serbia,Switzerland,1.75
Lithuania,Cyprus,3.5
Romania,Kosovo,1.75
Kosovo,Romania,1.75
Belarus,Northern Ireland,3.5
Luxembourg,Bulgaria,3.5
San Marino,Gibraltar,1.75
Gibraltar,San Marino,1.75
Saint Lucia,Grenada,3.5
Saint Martin,Curaçao,3.5
Aruba,Puerto Rico,3.5
Sint Maarten,Haiti,3.5
Barbados,Guyana,3.5
Cayman Islands,Guadeloupe,3.5
Mexico,Honduras,3.5
Suriname,Canada,3.5
Peru,Chile,2.0
Chile,Peru,2.0
Colombia,Uruguay,4.0
Samoa,Tahiti,4.0
Vanuatu,New Zealand,4.0
Indonesia,Japan,4.0
Brunei,Russia,1.0
Gambia,Comoros,2.5
Gabon,Morocco,2.5
Botswana,Mauritania,1.25
Mauritania,Botswana,1.25
Cape Verde,Egypt,1.25
Egypt,Cape Verde,1.25
Angola,Ghana,1.25
Ghana,Angola,1.25
Ivory Coast,Zambia,2.5
Eswatini,Guinea-Bissau,1.25
Guinea-Bissau,Eswatini,1.25
Mozambique,Mali,2.5
Zimbabwe,Kenya,1.25
Kenya,Zimbabwe,1.25
Uganda,South Africa,2.5
Bosnia and Herzegovina,Germany,3.5
Hungary,Netherlands,3.5
Albania,Czech Republic,1.75
Czech Republic,Albania,1.75
Georgia,Ukraine,1.75
Ukraine,Georgia,1.75
Montenegro,Iceland,3.5
Turkey,Wales,1.75
Wales,Turkey,1.75
Azerbaijan,Estonia,1.75
Estonia,Azerbaijan,1.75
Slovakia,Sweden,3.5
Andorra,Moldova,3.5
Antigua and Barbuda,Bermuda,3.5
Dominica,Dominican Republic,3.5
Maldives,Bangladesh,1.0
Afghanistan,Nepal,1.0
Yemen,Sri Lanka,1.0
Ethiopia,Tanzania,2.5
DR Congo,Guinea,2.5
Belgium,Israel,3.5
Italy,France,3.5
Republic of Ireland,England,3.5
Finland,Greece,3.5
Kazakhstan,Norway,3.5
Austria,Slovenia,1.75
Slovenia,Austria,1.75
Faroe Islands,North Macedonia,3.5
Latvia,Armenia,3.5
Bonaire,Saint Vincent and the Grenadines,3.5
Montserrat,El Salvador,3.5
Thailand,Laos,0.5
Laos,Thailand,0.5
Fiji,New Caledonia,2.0
New Caledonia,Fiji,2.0
Papua New Guinea,Solomon Islands,4.0
Liberia,Algeria,2.5
Equatorial Guinea,Togo,2.5
Croatia,Portugal,1.75
Portugal,Croatia,1.75
Poland,Scotland,3.5
Serbia,Denmark,1.75
Denmark,Serbia,1.75
Switzerland,Spain,3.5
Lithuania,Kosovo,3.5
Cyprus,Romania,3.5
Luxembourg,Northern Ireland,1.75
Northern Ireland,Luxembourg,1.75
Bulgaria,Belarus,1.75
Belarus,Bulgaria,1.75
Liechtenstein,San Marino,3.5
Grenada,Saint Martin,3.5
Saint Lucia,Curaçao,3.5
Aruba,Sint Maarten,3.5
Puerto Rico,Haiti,3.5
Saint Kitts and Nevis,Cuba,3.5
Panama,Costa Rica,1.75
Costa Rica,Panama,1.75
Jamaica,United States,3.5
India,Malaysia,0.5
Malaysia,India,0.5
Singapore,Taiwan,1.0
Vanuatu,Tahiti,4.0
Samoa,New Zealand,4.0
Tunisia,Gambia,2.5
Madagascar,Comoros,2.5
Lesotho,Morocco,2.5
Central African Republic,Gabon,2.5
Nigeria,Rwanda,2.5
Libya,Benin,1.25
Benin,Libya,1.25
Ghana,Niger,2.5
Sudan,Angola,1.25
Angola,Sudan,1.25
Burkina Faso,Malawi,2.5
Bosnia and Herzegovina,Netherlands,1.75
Netherlands,Bosnia and Herzegovina,1.75
Hungary,Germany,1.75
Germany,Hungary,1.75
Albania,Ukraine,3.5
Georgia,Czech Republic,3.5
Iceland,Wales,3.5
Turkey,Montenegro,3.5
Estonia,Slovakia,3.5
Azerbaijan,Sweden,3.5
Malta,Andorra,1.75
Andorra,Malta,1.75
Antigua and Barbuda,Dominica,1.75
Dominica,Antigua and Barbuda,1.75
Bermuda,Dominican Republic,3.5
French Guiana,Belize,1.75
Belize,French Guiana,1.75
Cayman Islands,Guadeloupe,3.5
Barbados,Guyana,3.5
Suriname,Canada,3.5
Honduras,Mexico,3.5
Gibraltar,Moldova,0.5
Moldova,Gibraltar,0.5
Mauritius,Hong Kong,1.0
Myanmar,Lebanon,1.0
Syria,Russia,1.0
Sri Lanka,Yemen,1.0
Afghanistan,Tajikistan,1.0
Bolivia,Paraguay,2.0
Paraguay,Bolivia,2.0
Colombia,Ecuador,4.0
Peru,Argentina,4.0
Venezuela,Chile,4.0
Brazil,Uruguay,2.0
Uruguay,Brazil,2.0
North Korea,Uzbekistan,4.0
Kyrgyzstan,Iran,4.0
Qatar,United Arab Emirates,4.0
Palestine,South Korea,2.0
South Korea,Palestine,2.0
Oman,Iraq,4.0
Kuwait,Jordan,2.0
Jordan,Kuwait,2.0
Bahrain,Australia,2.0
Australia,Bahrain,2.0
Saudi Arabia,Indonesia,4.0
China,Japan,4.0
Egypt,Botswana,1.25
Botswana,Egypt,1.25
Cape Verde,Mauritania,2.5
Chad,Ivory Coast,2.5
Sierra Leone,Zambia,2.5
DR Congo,Ethiopia,2.5
Guinea,Tanzania,2.5
Eswatini,Mali,2.5
Guinea-Bissau,Mozambique,2.5
Zimbabwe,Cameroon,2.5
Kenya,Namibia,1.25
Namibia,Kenya,1.25
South Sudan,South Africa,2.5
Congo,Uganda,2.5
Burundi,Senegal,2.5
Cambodia,Malaysia,1.75
Malaysia,Cambodia,1.75
Timor-Leste,Thailand,3.5
Mongolia,Hong Kong,2.5
Myanmar,Indonesia,3.5
Laos,Vietnam,3.5
Vanuatu,Solomon Islands,3.5
Cambodia,Singapore,3.5
Timor-Leste,Malaysia,3.5
Mongolia,Taiwan,2.5
Philippines,Myanmar,1.75
Myanmar,Philippines,1.75
Indonesia,Laos,1.75
Laos,Indonesia,1.75
Fiji,Vanuatu,1.75
Vanuatu,Fiji,1.75
Timor-Leste,Singapore,3.5
Malaysia,Thailand,3.5
Macau,Guam,2.5
Taiwan,Hong Kong,2.5
Laos,Philippines,1.75
Philippines,Laos,1.75
Indonesia,Vietnam,3.5
Papua New Guinea,Fiji,1.75
Fiji,Papua New Guinea,1.75
Timor-Leste,Cambodia,3.5
Singapore,Thailand,3.5
Guam,Hong Kong,2.5
Laos,Myanmar,3.5
Philippines,Vietnam,1.75
Vietnam,Philippines,1.75
Solomon Islands,Papua New Guinea,3.5
Cambodia,Thailand,3.5
Malaysia,Singapore,1.75
Singapore,Malaysia,1.75
Myanmar,Vietnam,3.5
Indonesia,Philippines,3.5
Kuwait,Oman,1.75
Oman,Kuwait,1.75
Qatar,United Arab Emirates,1.75
United Arab Emirates,Qatar,1.75
Vanuatu,Papua New Guinea,3.5
Solomon Islands,Fiji,3.5
Yemen,Iraq,3.5
Saudi Arabia,Bahrain,3.5
Qatar,Oman,3.5
United Arab Emirates,Kuwait,3.5
Yemen,Saudi Arabia,3.5
Iraq,Bahrain,3.5
Singapore,Vietnam,3.5
Thailand,Philippines,3.5
Kuwait,Qatar,1.75
Qatar,Kuwait,1.75
United Arab Emirates,Oman,1.75
Oman,United Arab Emirates,1.75
Iraq,Saudi Arabia,3.5
Bahrain,Yemen,3.5
Singapore,Vietnam,3.5
Philippines,Thailand,3.5
Saudi Arabia,Oman,3.5
Kuwait,Bahrain,3.5
Thailand,Vietnam,3.5
Tanzania,Zanzibar,3.5
Oman,Bahrain,3.5
Burkina Faso,Kenya,1.75
Kenya,Burkina Faso,1.75
Thailand,Vietnam,3.5
Zanzibar,Burkina Faso,3.5
Tanzania,Kenya,3.5
Tanzania,Burkina Faso,3.5
Kenya,Zanzibar,3.5
Burkina Faso,Zanzibar,3.5
Venezuela,United States,1.0
Costa Rica,United States,1.0
Uzbekistan,Jordan,0.5
Jordan,Uzbekistan,0.5
Trinidad and Tobago,Jamaica,1.0
Panama,Chile,1.0
Jamaica,Trinidad and Tobago,0.5
Trinidad and Tobago,Jamaica,0.5
Oman,Sudan,0.5
Sudan,Oman,0.5
Saint Vincent and the Grenadines,Grenada,0.5
Grenada,Saint Vincent and the Grenadines,0.5
Oman,Sudan,0.5
Sudan,Oman,0.5
Jordan,North Korea,0.5
North Korea,Jordan,0.5
Honduras,Guatemala,1.0
Macau,Hong Kong,1.0
Maldives,India,1.0
Cambodia,Vietnam,1.0
Eswatini,Cameroon,2.0
Cameroon,Eswatini,2.0
Liberia,Tunisia,4.0
Central African Republic,Madagascar,4.0
